arabic,sql,db_id
أي قسم لديه أكثر من رئيس في نفس الوقت؟ اعرض قائمه بالرقم التعريفي، الاسم، وعدد الرؤساء.,"SELECT T1.department_id , T1.name , count ( * ) FROM management AS T2 JOIN department AS T1 ON T1.department_id = T2.department_id GROUP BY T1.department_id HAVING count ( * ) > 1",department_management
أي رئيس يحمل اسم يحتوي علي متغير 'Ha'؟ اعرض قائمه بالرقم التعريفي والاسم.,"SELECT head_id , name FROM head WHERE name LIKE '%Ha%'",department_management
كم مزرعه هناك؟,SELECT count ( * ) FROM farm,farm
عد المزارع.,SELECT count ( * ) FROM farm,farm
اعرض قائمه بإجمالي عدد الخيول في المزارع بترتيب تصاعدي.,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,farm
ما هو إجمالي سجل الخيول لكل مزرعه، مرتبا تصاعديا؟,SELECT Total_Horses FROM farm ORDER BY Total_Horses ASC,farm
"ما هي المضيفات للمسابقات التي ليست موضوعها ""Aliens""؟",SELECT Hosts FROM farm_competition WHERE Theme ! = 'Aliens',farm
"إرجاع مضيفي المسابقات التي ليست موضوعها ""الكائنات الفضائيه""؟",SELECT Hosts FROM farm_competition WHERE Theme ! = 'Aliens',farm
ما هي المواضيع التي تم تنظيمها في مسابقات المزارع مرتبه حسب السنه بترتيب تصاعدي؟,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,farm
إرجاع مواضيع مسابقات المزارع، مرتبه حسب السنه بترتيب تصاعدي.,SELECT Theme FROM farm_competition ORDER BY YEAR ASC,farm
ما هو المتوسط ​​لعدد الخيول العامله في المزارع التي تحتوي علي أكثر من 5000 خيل في المجموع؟,SELECT avg ( Working_Horses ) FROM farm WHERE Total_Horses > 5000,farm
اعرض المتوسط ​​لعدد الخيول العامله في المزارع التي تحتوي علي أكثر من 5000 خيل في المجموع.,SELECT avg ( Working_Horses ) FROM farm WHERE Total_Horses > 5000,farm
ما هو الحد الأقصي والحد الأدني لعدد الأبقار في جميع المزارع.,"SELECT max ( Cows ) , min ( Cows ) FROM farm",farm
إرجع الحد الأقصي والحد الأدني لعدد الأبقار في جميع المزارع.,"SELECT max ( Cows ) , min ( Cows ) FROM farm",farm
كم عدد الحالات المختلفه للمدن؟,SELECT count ( DISTINCT Status ) FROM city,farm
عدد الحالات المختلفه.,SELECT count ( DISTINCT Status ) FROM city,farm
اعرض قائمه بالأسماء الرسميه للمدن مرتبه تنازليا حسب السكان.,SELECT Official_Name FROM city ORDER BY Population DESC,farm
ما هي الأسماء الرسميه للمدن، مرتبه تنازليا حسب السكان؟,SELECT Official_Name FROM city ORDER BY Population DESC,farm
اعرض قائمه بالاسم الرسمي والحاله للمدينه ذات أعلي سكان.,"SELECT Official_Name , Status FROM city ORDER BY Population DESC LIMIT 1",farm
ما هو الاسم الرسمي والحاله للمدينه ذات أكبر عدد سكان؟,"SELECT Official_Name , Status FROM city ORDER BY Population DESC LIMIT 1",farm
اعرض السنوات والأسماء الرسميه لمدن المضيفه للمسابقات.,"SELECT T2.Year , T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID",farm
اعرض السنوات والأسماء الرسميه لمدن كل مسابقه.,"SELECT T2.Year , T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID",farm
اعرض الأسماء الرسميه للمدن التي استضافت أكثر من مسابقه واحده.,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT ( * ) > 1,farm
ما هي الأسماء الرسميه للمدن التي استضافت أكثر من مسابقه واحده؟,SELECT T1.Official_Name FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID HAVING COUNT ( * ) > 1,farm
اعرض حاله المدينه التي استضافت أكبر عدد من المسابقات.,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT ( * ) DESC LIMIT 1,farm
ما هي حاله المدينه التي استضافت أكبر عدد من المسابقات؟,SELECT T1.Status FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID GROUP BY T2.Host_city_ID ORDER BY COUNT ( * ) DESC LIMIT 1,farm
اعرض مواضيع المسابقات التي تحمل مدن المضيفه عدد سكان أكبر من 1000.,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T1.Population > 1000,farm
ما هي مواضيع المسابقات التي تحمل مدن المضيفه المقابله لها أكثر من 1000 ساكن؟,SELECT T2.Theme FROM city AS T1 JOIN farm_competition AS T2 ON T1.City_ID = T2.Host_city_ID WHERE T1.Population > 1000,farm
اعرض الحالات المختلفه للمدن والمتوسط ​​السكاني للمدن ذات كل حاله.,"SELECT Status , avg ( Population ) FROM city GROUP BY Status",farm
ما هي الحالات والمتوسطات السكانيه لكل مدينه؟,"SELECT Status , avg ( Population ) FROM city GROUP BY Status",farm
اعرض الحالات المختلفه، مرتبه حسب عدد المدن التي تحتل كل حاله.,SELECT Status FROM city GROUP BY Status ORDER BY COUNT ( * ) ASC,farm
إرجع الحالات المختلفه للمدن، مرتبه تصاعديا حسب التكرار.,SELECT Status FROM city GROUP BY Status ORDER BY COUNT ( * ) ASC,farm
اعرض قائمه بأكثر نوع شائع للحاله عبر المدن.,SELECT Status FROM city GROUP BY Status ORDER BY COUNT ( * ) DESC LIMIT 1,farm
ما هي الحاله الأكثر شيوعا في جميع المدن؟,SELECT Status FROM city GROUP BY Status ORDER BY COUNT ( * ) DESC LIMIT 1,farm
اعرض قائمه بالأسماء الرسميه للمدن التي لم تستضيف أي مسابقه.,SELECT Official_Name FROM city WHERE City_ID NOT IN ( SELECT Host_city_ID FROM farm_competition ),farm
ما هي الأسماء الرسميه للمدن التي لم تستضف أي مسابقه زراعيه؟,SELECT Official_Name FROM city WHERE City_ID NOT IN ( SELECT Host_city_ID FROM farm_competition ),farm
اعرض الحاله المشتركه بين المدن التي يزيد عدد سكانها عن 1500 وأقل من 500.,SELECT Status FROM city WHERE Population > 1500 INTERSECT SELECT Status FROM city WHERE Population < 500,farm
[Translation] ما هي الحالات التي تتناسب مع المدن التي يبلغ سكانها أكثر من 1500 والتي يبلغ سكانها أقل من 500؟,SELECT Status FROM city WHERE Population > 1500 INTERSECT SELECT Status FROM city WHERE Population < 500,farm
[Translation] ابحث عن الأسماء الرسميه للمدن التي يبلغ سكانها أكثر من 1500 أو أقل من 500.,SELECT Official_Name FROM city WHERE Population > 1500 OR Population < 500,farm
[Translation] ما هي الأسماء الرسميه للمدن التي يبلغ سكانها أكثر من 1500 أو أقل من 500؟,SELECT Official_Name FROM city WHERE Population > 1500 OR Population < 500,farm
"[Translation] أظهر ترتيب التعداد السكاني للمدن التي ليست حالتها ""Village"".","SELECT Census_Ranking FROM city WHERE Status ! = ""Village""",farm
"[Translation] ما هي ترتيبات التعداد السكاني للمدن التي ليست لديها حاله ""Village""؟","SELECT Census_Ranking FROM city WHERE Status ! = ""Village""",farm
[Translation] أي دوره لديها أكبر عدد من الطلاب المسجلين؟,SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count ( * ) DESC LIMIT 1,student_assessment
[Translation] ما هو اسم الدوره التي لديها أكبر عدد من الطلاب المسجلين؟,SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count ( * ) DESC LIMIT 1,student_assessment
[Translation] ما هو رقم تعريفي الطلاب الذين سجلوا في بعض الدورات ولكن أقل عدد من الدورات بين هؤلاء الطلاب؟,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count ( * ) LIMIT 1,student_assessment
[Translation] ما هي أرقام تعريفيه الطلاب الذين سجلوا في بعض الدورات ولكن كان لديهم أقل عدد من الدورات بين جميع الطلاب؟,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count ( * ) LIMIT 1,student_assessment
[Translation] ما هي الأسماء الأولي والأخيره لجميع المرشحين؟,"SELECT T2.first_name , T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id",student_assessment
[Translation] ما هي الأسماء الأولي والأخيره لجميع المرشحين؟,"SELECT T2.first_name , T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id",student_assessment
[Translation] اعرض قائمه بالارقام التعريفيه للالطلاب الذين لم يحضروا أي دورات؟,SELECT student_id FROM students WHERE student_id NOT IN ( SELECT student_id FROM student_course_attendance ),student_assessment
[Translation] ما هي الأرقام التعريفيه لجميع الطلاب الذين لم يحضروا أي دوره؟,SELECT student_id FROM students WHERE student_id NOT IN ( SELECT student_id FROM student_course_attendance ),student_assessment
[Translation] اعرض قائمه بالارقام التعريفيه للالطلاب الذين حضروا بعض الدورات؟,SELECT student_id FROM student_course_attendance,student_assessment
[Translation] ما هي أرقام تعريفيه جميع الطلاب الذين حضروا علي الأقل دوره واحده؟,SELECT student_id FROM student_course_attendance,student_assessment
[Translation] ما هي أرقام تعريفيه جميع الطلاب للدورات وما هي أسماء تلك الدورات؟,"SELECT T1.student_id , T2.course_name FROM student_course_registrations AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id",student_assessment
[Translation] ما هي تفاصيل الطالب الذي سجل في آخر دوره؟,SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,student_assessment
[Translation] ما هي التفاصيل التي لدينا عن الطلاب الذين سجلوا في الدورات مؤخرا؟,SELECT T2.student_details FROM student_course_registrations AS T1 JOIN students AS T2 ON T1.student_id = T2.student_id ORDER BY T1.registration_date DESC LIMIT 1,student_assessment
[Translation] كم عدد الطلاب الذين يحضرون دوره اللغه الإنجليزيه؟,"SELECT count ( * ) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""",student_assessment
[Translation] كم عدد الطلاب الذين يحضرون دورات اللغه الإنجليزيه؟,"SELECT count ( * ) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""English""",student_assessment
[Translation] كم عدد الدورات التي يحضرها الطالب الذي يحمل الرقم 171؟,SELECT count ( * ) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,student_assessment
[Translation] كم عدد الدورات التي يحضرها الطالب الذي يحمل الرقم 171 فعليا؟,SELECT count ( * ) FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T2.student_id = 171,student_assessment
[Translation] ابحث عن رقم تعريفي المرشح الذي يحمل البريد الإلكتروني stanley.monahan@example.org؟,"SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org""",student_assessment
[Translation] ما هو رقم الرقم تعريفي للمرشح الذي يحمل البريد الإلكتروني stanley.monahan@example.org؟,"SELECT T2.candidate_id FROM people AS T1 JOIN candidates AS T2 ON T1.person_id = T2.candidate_id WHERE T1.email_address = ""stanley.monahan@example.org""",student_assessment
[Translation] ابحث عن رقم تعريفي المرشح الذي قام بالوصول إلي الدوره مؤخرا؟,SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,student_assessment
[Translation] ما هو رقم الرقم تعريفي للمرشح الذي قام بالوصول إلي الدوره مؤخرا؟,SELECT candidate_id FROM candidate_assessments ORDER BY assessment_date DESC LIMIT 1,student_assessment
[Translation] ما هي تفاصيل الطالب الذي سجل أكبر عدد من الدورات؟,SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count ( * ) DESC LIMIT 1,student_assessment
[Translation] ما هي تفاصيل الطالب الذي سجل لأكبر عدد من الدورات؟,SELECT T1.student_details FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id ORDER BY count ( * ) DESC LIMIT 1,student_assessment
[Translation] قائمه بمعرف الطلاب الذين سجلوا في بعض الدورات وعدد الدورات المسجله لديهم؟,"SELECT T1.student_id , count ( * ) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id",student_assessment
[Translation] لكل طالب مسجل في بعض الدورات، كم عدد الدورات التي قاموا بالتسجيل فيها؟,"SELECT T1.student_id , count ( * ) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id GROUP BY T1.student_id",student_assessment
[Translation] كم عدد الطلاب المسجلين في كل دوره؟ قائمه بأسماء الدورات وعدد الطلاب المسجلين فيها؟,"SELECT T3.course_name , count ( * ) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id",student_assessment
[Translation] لكل رقم تعريفي دوره، كم عدد الطلاب المسجلين وما هي أسماء الدورات؟,"SELECT T3.course_name , count ( * ) FROM students AS T1 JOIN student_course_registrations AS T2 ON T1.student_id = T2.student_id JOIN courses AS T3 ON T2.course_id = T3.course_id GROUP BY T2.course_id",student_assessment
"[Translation] ابحث عن أرقام تعريفيه المرشحين الذين يحملون رمز التقييم ""Pass""؟","SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = ""Pass""",student_assessment
"[Translation] ما هي أرقام تعريفيه المرشحين الذين لديهم رمز نتيجه ""Pass""؟","SELECT candidate_id FROM candidate_assessments WHERE asessment_outcome_code = ""Pass""",student_assessment
"[Translation] ابحث عن رقم الجوال للمرشحين الذين يحملون رمز التقييم ""Fail""؟","SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = ""Fail""",student_assessment
"[Translation] ما هي أرقام هواتف المحمول للمرشحين الذين حصلوا علي رمز تقييم ""Fail""؟","SELECT T3.cell_mobile_number FROM candidates AS T1 JOIN candidate_assessments AS T2 ON T1.candidate_id = T2.candidate_id JOIN people AS T3 ON T1.candidate_id = T3.person_id WHERE T2.asessment_outcome_code = ""Fail""",student_assessment
[Translation] ما هي أرقام تعريفيه الطلاب الذين سجلوا في الدوره 301؟,SELECT student_id FROM student_course_attendance WHERE course_id = 301,student_assessment
[Translation] ما هي أرقام تعريفيه الطلاب الذين سجلوا في الدوره 301؟,SELECT student_id FROM student_course_attendance WHERE course_id = 301,student_assessment
[Translation] ما هو رقم رقم تعريفي الطالب الذي سجل في الدوره 301 مؤخرا؟,SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,student_assessment
[Translation] ما هي أرقام تعريفيه الطلاب الذين سجلوا في الدوره 301 مؤخرا؟,SELECT student_id FROM student_course_attendance WHERE course_id = 301 ORDER BY date_of_attendance DESC LIMIT 1,student_assessment
[Translation] ابحث عن مدن مختلفه لعناوين الأشخاص؟,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,student_assessment
[Translation] ما هي المدن المختلفه التي يعيش فيها الأشخاص؟,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id,student_assessment
[Translation] ابحث عن مدن مختلفه لعناوين الطلاب؟,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,student_assessment
[Translation] ما هي المدن المختلفه التي يعيش فيها الطلاب؟,SELECT DISTINCT T1.city FROM addresses AS T1 JOIN people_addresses AS T2 ON T1.address_id = T2.address_id JOIN students AS T3 ON T2.person_id = T3.student_id,student_assessment
[Translation] اعرض قائمه بأسماء الدورات بترتيب أبجدي؟,SELECT course_name FROM courses ORDER BY course_name,student_assessment
[Translation] ما هي أسماء الدورات بترتيب أبجدي؟,SELECT course_name FROM courses ORDER BY course_name,student_assessment
[Translation] قائمه بأسماء الأشخاص الأولي بترتيب أبجدي؟,SELECT first_name FROM people ORDER BY first_name,student_assessment
[Translation] ما هي أسماء الأشخاص الأولي بترتيب أبجدي؟,SELECT first_name FROM people ORDER BY first_name,student_assessment
[Translation] ما هي أرقام تعريفيه الطلاب الذين قاموا بتسجيل دورات أو حضورها؟,SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,student_assessment
[Translation] ما هي أرقام تعريفيه الطلاب الذين قاموا بتسجيل دورات أو حضورها؟,SELECT student_id FROM student_course_registrations UNION SELECT student_id FROM student_course_attendance,student_assessment
[Translation] ابحث عن الرقم التعريفي للدورات التي تم التسجيل فيها أو حضورها من قبل الطالب الذي يحمل رقم تعريفي 121؟,SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121,student_assessment
[Translation] ما هي أرقام تعريفيه الدورات التي تم التسجيل فيها أو حضورها من قبل الطالب الذي يحمل رقم تعريفي 121؟,SELECT course_id FROM student_course_registrations WHERE student_id = 121 UNION SELECT course_id FROM student_course_attendance WHERE student_id = 121,student_assessment
[Translation] ما هي جميع المعلومات حول الطلاب الذين قاموا بتسجيل الدورات ولم يحضروها؟,SELECT * FROM student_course_registrations WHERE student_id NOT IN ( SELECT student_id FROM student_course_attendance ),student_assessment
[Translation] ما هي جميع التفاصيل حول الطلاب الذين قاموا بالتسجيل ولكن لم يحضروا أي دوره؟,SELECT * FROM student_course_registrations WHERE student_id NOT IN ( SELECT student_id FROM student_course_attendance ),student_assessment
[Translation] قائمه بأرقام تعريفيه الطلاب الذين قاموا بتسجيل دوره في إحدي قاعات الإحصاء بترتيب تاريخ التسجيل.,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date",student_assessment
[Translation] ما هي أرقام تعريفيه الطلاب الذين سجلوا في دوره إحصاء بترتيب تاريخ التسجيل؟,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.registration_date",student_assessment
[Translation] قائمه بأرقام تعريفيه الطلاب الذين حضروا دورات في إحصاء بترتيب تاريخ الحضور.,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.date_of_attendance",student_assessment
[Translation] ما هي أرقام تعريفيه الطلاب الذين حضروا دورات في قسم الإحصاء بترتيب تاريخ الحضور.,"SELECT T2.student_id FROM courses AS T1 JOIN student_course_attendance AS T2 ON T1.course_id = T2.course_id WHERE T1.course_name = ""statistics"" ORDER BY T2.date_of_attendance",student_assessment
[Translation] أعطني التواريخ عندما كانت درجه الحراره القصوي أعلي من 85.,SELECT date FROM weather WHERE max_temperature_f > 85,bike_1
[Translation] ما هي التواريخ التي كانت فيها درجه الحراره القصوي أعلي من 85؟,SELECT date FROM weather WHERE max_temperature_f > 85,bike_1
[Translation] ما هي أسماء المحطات التي تحمل خط العرض أقل من 37.5؟,SELECT name FROM station WHERE lat < 37.5,bike_1
[Translation] ما هي أسماء جميع المحطات التي تحمل خط العرض أقل من 37.5؟,SELECT name FROM station WHERE lat < 37.5,bike_1
[Translation] لكل مدينه، ماهو أعلي خط عرض بين محطاتها؟,"SELECT city , max ( lat ) FROM station GROUP BY city",bike_1
[Translation] لكل مدينه، ما هو أعلي خط عرض بين محطاتها؟,"SELECT city , max ( lat ) FROM station GROUP BY city",bike_1
[Translation] ماهي محطه البدايه ومحطه النهايه للرحلات ذات أقدم ثلاثه أرقام تعريفيه؟,"SELECT start_station_name , end_station_name FROM trip ORDER BY id LIMIT 3",bike_1
[Translation] ما هي محطه البدايه ومحطه النهايه للرحلات ذات أصغر ثلاثه معرفات؟,"SELECT start_station_name , end_station_name FROM trip ORDER BY id LIMIT 3",bike_1
[Translation] ما هو متوسط خط العرض وخط الطول للمحطات الموجوده في مدينه سان جوزيه؟,"SELECT avg ( lat ) , avg ( long ) FROM station WHERE city = ""San Jose""",bike_1
[Translation] ما هو متوسط خط العرض وخط الطول في سان جوزيه؟,"SELECT avg ( lat ) , avg ( long ) FROM station WHERE city = ""San Jose""",bike_1
[Translation] ما هو معرف الرحله التي تمتلك أقصر مده؟,SELECT id FROM trip ORDER BY duration LIMIT 1,bike_1
[Translation] ما هو الرقم التعريفي لرحله الأقصر؟,SELECT id FROM trip ORDER BY duration LIMIT 1,bike_1
[Translation] ما هو إجمالي وأقصي مده للرحلات برقم رقم تعريفي الدراجه 636؟,"SELECT sum ( duration ) , max ( duration ) FROM trip WHERE bike_id = 636",bike_1
[Translation] ما هو إجمالي وأقصي مده لجميع الرحلات برقم رقم تعريفي الدراجه 636؟,"SELECT sum ( duration ) , max ( duration ) FROM trip WHERE bike_id = 636",bike_1
[Translation] لكل رمز بريدي، ماهو متوسط درجه الحراره المتوسطه لشهر أغسطس هناك؟,"SELECT zip_code , avg ( mean_temperature_f ) FROM weather WHERE date LIKE ""8/%"" GROUP BY zip_code",bike_1
[Translation] لكل رمز بريدي، ما هو متوسط درجه الحراره المتوسطه لجميع التواريخ التي تبدأ بالرقم '8'؟,"SELECT zip_code , avg ( mean_temperature_f ) FROM weather WHERE date LIKE ""8/%"" GROUP BY zip_code",bike_1
[Translation] استنادا إلي سجل الرحلات، ابحث عن عدد الدراجات الفريده.,SELECT count ( DISTINCT bike_id ) FROM trip,bike_1
[Translation] كم عدد معرفات الدراجات المختلفه؟,SELECT count ( DISTINCT bike_id ) FROM trip,bike_1
[Translation] ما هو عدد المدن المتميزه التي يتواجد فيها المحطات؟,SELECT count ( DISTINCT city ) FROM station,bike_1
[Translation] كم عدد المدن المختلفه التي تحتوي علي هذه المحطات؟,SELECT count ( DISTINCT city ) FROM station,bike_1
[Translation] كم عدد المحطات التي تمتلكها مدينه ماونتن فيو؟,"SELECT COUNT ( * ) FROM station WHERE city = ""Mountain View""",bike_1
[Translation] كم عدد المحطات في ماونتن فيو؟,"SELECT COUNT ( * ) FROM station WHERE city = ""Mountain View""",bike_1
[Translation] أرجع الاسم الفريد للمحطات التي كانت لديها في أي وقت 7 دراجات متاحه.,SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id WHERE T2.bikes_available = 7,bike_1
[Translation] ما هي الأسماء المختلفه لكل محطه كانت لديها في أي وقت 7 دراجات متاحه؟,SELECT DISTINCT T1.name FROM station AS T1 JOIN status AS T2 ON T1.id = T2.station_id WHERE T2.bikes_available = 7,bike_1
[Translation] أي محطه بدايه كانت لديها أكبر عدد من الرحلات بدءا من شهر أغسطس؟ قدم لي اسم ورقم تعريف المحطه.,"SELECT start_station_name , start_station_id FROM trip WHERE start_date LIKE ""8/%"" GROUP BY start_station_name ORDER BY COUNT ( * ) DESC LIMIT 1",bike_1
[Translation] ما هي أسماء ورقم تعريف محطه البدايه التي كانت لديها أكبر عدد من رحلات البدايه في أغسطس؟,"SELECT start_station_name , start_station_id FROM trip WHERE start_date LIKE ""8/%"" GROUP BY start_station_name ORDER BY COUNT ( * ) DESC LIMIT 1",bike_1
[Translation] أي دراجه سفرت الأكثر كثافه في الرمز البريدي 94002؟,SELECT bike_id FROM trip WHERE zip_code = 94002 GROUP BY bike_id ORDER BY COUNT ( * ) DESC LIMIT 1,bike_1
[Translation] ما هو رقم التعريف الخاص بالدراجه التي سافرت الأكثر في 94002؟,SELECT bike_id FROM trip WHERE zip_code = 94002 GROUP BY bike_id ORDER BY COUNT ( * ) DESC LIMIT 1,bike_1
[Translation] كم عدد الأيام التي كان فيها كل من رطوبه الهواء المتوسطه أعلي من 50 ورؤيه المتوسطه أعلي من 8؟,SELECT COUNT ( * ) FROM weather WHERE mean_humidity > 50 AND mean_visibility_miles > 8,bike_1
[Translation] ما هو عدد الأيام التي كانت فيها الرطوبه المتوسطه أعلي من 50 وكانت الرؤيه المتوسطه أعلي من 8؟,SELECT COUNT ( * ) FROM weather WHERE mean_humidity > 50 AND mean_visibility_miles > 8,bike_1
[Translation] ما هي خطوط العرض والطول والمدينه للمحطه التي بدأت فيها الرحله الأقصر؟,"SELECT T1.lat , T1.long , T1.city FROM station AS T1 JOIN trip AS T2 ON T1.id = T2.start_station_id ORDER BY T2.duration LIMIT 1",bike_1
[Translation] ما هي خطوط العرض والطول والمدينه للمحطه التي بدأت فيها الرحله ذات أقل مده؟,"SELECT T1.lat , T1.long , T1.city FROM station AS T1 JOIN trip AS T2 ON T1.id = T2.start_station_id ORDER BY T2.duration LIMIT 1",bike_1
